data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-03-29,inconsistent,0,780
2021-07-01,2021-03-29,consistent,5,9925
2021-07-01,2021-03-30,inconsistent,0,678
2021-07-01,2021-03-30,consistent,6,13760
2021-07-01,2021-03-31,inconsistent,0,330
2021-07-01,2021-03-31,consistent,4,10253
2021-07-01,2021-04-01,inconsistent,0,346
2021-07-01,2021-04-01,consistent,4,5681
2021-07-01,2021-04-02,inconsistent,0,6
2021-07-01,2021-04-02,consistent,3,8424
2021-07-01,2021-04-04,inconsistent,0,2
2021-07-01,2021-04-04,consistent,3,4001
2021-07-01,2021-04-03,inconsistent,0,348
2021-07-01,2021-04-03,consistent,7,20252
