data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-02-13,inconsistent,0,8
2021-06-30,2021-02-13,consistent,1,2997
2021-06-30,2021-02-12,inconsistent,0,337
2021-06-30,2021-02-12,consistent,2,11056
2021-06-30,2021-02-11,inconsistent,0,328
2021-06-30,2021-02-11,consistent,3,11222
2021-06-30,2021-02-10,inconsistent,0,334
2021-06-30,2021-02-10,consistent,2,9441
2021-06-30,2021-02-09,inconsistent,0,286
2021-06-30,2021-02-09,consistent,3,6898
2021-06-30,2021-02-08,inconsistent,0,126
2021-06-30,2021-02-08,consistent,2,4326
2021-06-30,2021-02-08,inconsistent,0,126
2021-06-30,2021-02-09,inconsistent,0,286
2021-06-30,2021-02-08,consistent,1,4326
2021-06-30,2021-02-09,consistent,2,6898
2021-06-30,2021-02-10,inconsistent,0,334
2021-06-30,2021-02-11,inconsistent,0,328
2021-06-30,2021-02-12,inconsistent,0,337
2021-06-30,2021-02-13,inconsistent,0,8
2021-06-30,2021-02-10,consistent,2,9441
2021-06-30,2021-02-11,consistent,2,11222
2021-06-30,2021-02-12,consistent,2,11056
2021-06-30,2021-02-13,consistent,1,2997
2021-07-01,2021-02-14,inconsistent,0,8
2021-07-01,2021-02-14,consistent,3,149
