data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-05,2021-07-05,consistent,2,552
2021-07-05,2021-07-05,consistent,2,12461
2021-07-05,2021-07-05,inconsistent,0,40
2021-07-05,2021-07-05,consistent,8,55152
2021-07-06,2021-07-05,inconsistent,0,46
2021-07-06,2021-07-05,consistent,9,63778
2021-07-06,2021-07-05,inconsistent,0,48
2021-07-06,2021-07-05,consistent,7,65507
2021-07-06,2021-07-05,inconsistent,0,48
2021-07-06,2021-07-05,consistent,9,66445
2021-07-06,2021-07-05,inconsistent,0,48
2021-07-06,2021-07-05,consistent,8,66445
2021-07-06,2021-07-06,consistent,2,682
2021-07-06,2021-07-05,inconsistent,0,48
2021-07-06,2021-07-05,consistent,8,68126
2021-07-06,2021-07-06,inconsistent,0,4
2021-07-06,2021-07-06,consistent,2,12642
2021-07-06,2021-07-05,inconsistent,0,48
2021-07-06,2021-07-05,consistent,8,71146
2021-07-06,2021-07-06,inconsistent,0,30
2021-07-06,2021-07-06,consistent,4,33603
2021-07-06,2021-07-05,inconsistent,0,88
2021-07-06,2021-07-05,consistent,10,76278
2021-07-06,2021-07-06,inconsistent,0,32
2021-07-06,2021-07-06,consistent,6,47698
2021-07-06,2021-07-05,inconsistent,0,90
2021-07-06,2021-07-05,consistent,9,79045
2021-07-07,2021-07-06,inconsistent,0,38
2021-07-07,2021-07-06,consistent,7,56606
2021-07-07,2021-07-05,inconsistent,0,92
2021-07-07,2021-07-05,consistent,10,80395
2021-07-07,2021-07-06,inconsistent,0,42
2021-07-07,2021-07-06,consistent,7,58595
2021-07-07,2021-07-07,consistent,1,1
2021-07-07,2021-07-06,inconsistent,0,44
2021-07-07,2021-07-06,consistent,8,60070
2021-07-07,2021-07-05,inconsistent,0,92
2021-07-07,2021-07-05,consistent,11,80569
2021-07-07,2021-07-07,consistent,1,1
2021-07-07,2021-07-06,inconsistent,0,44
2021-07-07,2021-07-06,consistent,8,60070
2021-07-07,2021-07-05,inconsistent,0,92
2021-07-07,2021-07-05,consistent,10,80569
2021-07-07,2021-07-07,inconsistent,0,20
2021-07-07,2021-07-07,consistent,2,10800
2021-07-07,2021-07-06,inconsistent,0,44
2021-07-07,2021-07-06,consistent,11,65009
2021-07-07,2021-07-05,inconsistent,0,92
2021-07-07,2021-07-05,consistent,13,82666
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,7,48556
2021-07-08,2021-07-06,inconsistent,0,68
2021-07-08,2021-07-06,consistent,10,72806
2021-07-08,2021-07-05,inconsistent,0,94
2021-07-08,2021-07-05,consistent,13,88690
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,6,49192
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,5,49333
2021-07-08,2021-07-06,inconsistent,0,70
2021-07-08,2021-07-06,consistent,9,73039
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,5,49333
2021-07-08,2021-07-06,inconsistent,0,70
2021-07-08,2021-07-06,consistent,7,73039
2021-07-08,2021-07-05,inconsistent,0,94
2021-07-08,2021-07-05,consistent,10,88953
2021-07-08,2021-07-08,consistent,2,673
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,8,50690
2021-07-08,2021-07-05,inconsistent,0,94
2021-07-08,2021-07-05,consistent,14,89056
2021-07-08,2021-07-06,inconsistent,0,70
2021-07-08,2021-07-06,consistent,15,73394
2021-07-08,2021-07-08,inconsistent,0,4
2021-07-08,2021-07-08,consistent,2,9420
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,6,53621
2021-07-08,2021-07-06,inconsistent,0,70
2021-07-08,2021-07-06,consistent,9,75089
2021-07-08,2021-07-05,inconsistent,0,94
2021-07-08,2021-07-05,consistent,11,89742
2021-07-08,2021-07-08,inconsistent,0,12
2021-07-08,2021-07-08,consistent,2,18749
2021-07-08,2021-07-07,inconsistent,0,46
2021-07-08,2021-07-07,consistent,6,56504
2021-07-08,2021-07-06,inconsistent,0,70
2021-07-08,2021-07-06,consistent,11,76598
2021-07-08,2021-07-05,inconsistent,0,134
2021-07-08,2021-07-05,consistent,11,90751
