data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-05-25,inconsistent,0,108
2021-07-02,2021-05-25,consistent,5,55135
2021-07-02,2021-05-24,inconsistent,0,32
2021-07-02,2021-05-24,consistent,8,54999
2021-07-02,2021-05-26,inconsistent,0,90
2021-07-02,2021-05-26,consistent,5,50018
2021-07-02,2021-05-27,inconsistent,0,92
2021-07-02,2021-05-27,consistent,5,53010
2021-07-02,2021-05-30,consistent,2,338
2021-07-02,2021-05-29,inconsistent,0,6
2021-07-02,2021-05-29,consistent,5,26475
2021-07-02,2021-05-28,inconsistent,0,162
2021-07-02,2021-05-28,consistent,6,57317
