data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-06-21,inconsistent,0,469
2021-07-01,2021-06-21,consistent,4,16995
2021-07-01,2021-06-22,inconsistent,0,534
2021-07-01,2021-06-22,consistent,4,19461
2021-07-01,2021-06-23,inconsistent,0,316
2021-07-01,2021-06-23,consistent,3,11269
2021-07-01,2021-06-24,inconsistent,0,180
2021-07-01,2021-06-24,consistent,2,7086
2021-07-01,2021-06-27,consistent,2,1387
2021-07-01,2021-06-26,inconsistent,0,6
2021-07-01,2021-06-25,inconsistent,0,140
2021-07-01,2021-06-26,consistent,2,4136
2021-07-01,2021-06-25,consistent,2,6382
2021-07-01,2021-06-27,consistent,2,1387
2021-07-01,2021-06-26,inconsistent,0,6
2021-07-01,2021-06-26,consistent,2,4140
2021-07-01,2021-06-27,consistent,2,1388
2021-07-01,2021-06-26,inconsistent,0,6
2021-07-01,2021-06-26,consistent,2,4168
2021-07-01,2021-06-27,consistent,2,1388
2021-07-01,2021-06-26,inconsistent,0,6
2021-07-01,2021-06-26,consistent,2,4170
2021-07-02,2021-06-27,consistent,2,1389
2021-07-02,2021-06-26,inconsistent,0,6
2021-07-02,2021-06-26,consistent,2,4244
