data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-03-22,inconsistent,0,1046
2021-06-30,2021-03-22,consistent,3,7540
2021-06-30,2021-03-23,inconsistent,0,834
2021-06-30,2021-03-23,consistent,7,13812
2021-06-30,2021-03-24,inconsistent,1,1862
2021-06-30,2021-03-24,consistent,10,19050
2021-06-30,2021-03-27,inconsistent,0,136
2021-06-30,2021-03-27,consistent,4,10559
2021-06-30,2021-03-25,inconsistent,1,2335
2021-06-30,2021-03-26,inconsistent,1,1456
2021-06-30,2021-03-25,consistent,10,22613
2021-06-30,2021-03-26,consistent,8,17192
2021-06-30,2021-03-28,inconsistent,0,242
2021-06-30,2021-03-28,consistent,4,6723
