data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-03-29,inconsistent,1,3894
2021-07-01,2021-03-29,consistent,45,122525
2021-07-01,2021-04-02,inconsistent,0,813
2021-07-01,2021-04-02,consistent,8,24798
2021-07-01,2021-03-30,inconsistent,2,8051
2021-07-01,2021-03-30,consistent,51,179247
2021-07-01,2021-03-31,inconsistent,2,8237
2021-07-01,2021-03-31,consistent,47,166762
2021-07-01,2021-04-04,inconsistent,0,826
2021-07-01,2021-04-04,consistent,4,6635
2021-07-01,2021-04-03,inconsistent,0,1054
2021-07-01,2021-04-03,consistent,9,24560
2021-07-01,2021-04-01,inconsistent,0,1410
2021-07-01,2021-04-01,consistent,39,119758
