data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-05-31,inconsistent,0,2
2021-07-02,2021-05-31,consistent,3,23502
2021-07-02,2021-06-03,consistent,1,7832
2021-07-02,2021-06-01,inconsistent,0,30
2021-07-02,2021-06-01,consistent,3,30841
2021-07-02,2021-06-02,inconsistent,0,10
2021-07-02,2021-06-02,consistent,4,34154
2021-07-02,2021-06-04,consistent,3,12420
2021-07-02,2021-06-05,inconsistent,0,26
2021-07-02,2021-06-05,consistent,2,5877
2021-07-02,2021-06-06,inconsistent,0,22
2021-07-02,2021-06-06,consistent,2,1664
2021-07-08,2021-06-06,inconsistent,0,26
2021-07-08,2021-06-06,consistent,2,1698
2021-07-08,2021-06-05,inconsistent,0,26
2021-07-08,2021-06-05,consistent,2,5955
