data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-05-17,inconsistent,0,18
2021-07-01,2021-05-17,consistent,2,12845
2021-07-01,2021-05-18,inconsistent,0,2
2021-07-01,2021-05-18,consistent,4,16094
2021-07-01,2021-05-19,inconsistent,0,6
2021-07-01,2021-05-19,consistent,3,14656
2021-07-01,2021-05-20,inconsistent,0,16
2021-07-01,2021-05-20,consistent,4,15130
2021-07-01,2021-05-21,consistent,4,14674
2021-07-01,2021-05-22,inconsistent,0,2
2021-07-01,2021-05-22,consistent,2,7316
2021-07-01,2021-05-23,inconsistent,0,2
2021-07-01,2021-05-23,consistent,2,3529
