data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-19,inconsistent,0,52
2021-07-01,2021-04-19,consistent,2,9438
2021-07-01,2021-04-21,inconsistent,0,8
2021-07-01,2021-04-21,consistent,2,6909
2021-07-01,2021-04-20,inconsistent,0,38
2021-07-01,2021-04-20,consistent,4,12471
2021-07-01,2021-04-22,inconsistent,0,18
2021-07-01,2021-04-22,consistent,4,12879
2021-07-01,2021-04-23,inconsistent,0,8
2021-07-01,2021-04-23,consistent,3,9248
2021-07-01,2021-04-24,inconsistent,0,12
2021-07-01,2021-04-24,consistent,3,9012
