data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-13,inconsistent,0,42
2021-07-01,2021-04-13,consistent,3,14500
2021-07-01,2021-04-14,consistent,3,15250
2021-07-01,2021-04-12,inconsistent,0,10
2021-07-01,2021-04-12,consistent,3,14905
2021-07-01,2021-04-15,inconsistent,0,50
2021-07-01,2021-04-15,consistent,3,12665
2021-07-01,2021-04-18,inconsistent,0,4
2021-07-01,2021-04-18,consistent,2,950
2021-07-01,2021-04-17,inconsistent,0,4
2021-07-01,2021-04-16,inconsistent,0,8
2021-07-01,2021-04-17,consistent,3,7791
2021-07-01,2021-04-16,consistent,3,12907
