data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-05-06,inconsistent,0,332
2021-07-01,2021-05-06,consistent,6,32200
2021-07-01,2021-05-04,inconsistent,0,576
2021-07-01,2021-05-04,consistent,16,66607
2021-07-01,2021-05-05,inconsistent,0,230
2021-07-01,2021-05-05,consistent,13,55675
2021-07-01,2021-05-03,inconsistent,0,716
2021-07-01,2021-05-03,consistent,20,69045
2021-07-01,2021-05-08,inconsistent,0,718
2021-07-01,2021-05-08,consistent,3,16491
2021-07-01,2021-05-07,inconsistent,0,110
2021-07-01,2021-05-07,consistent,9,34613
2021-07-02,2021-05-09,inconsistent,0,2
2021-07-02,2021-05-09,consistent,1,332
