data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-05-17,inconsistent,0,6
2021-07-01,2021-05-17,consistent,3,3990
2021-07-01,2021-05-20,inconsistent,0,2
2021-07-01,2021-05-20,consistent,2,7792
2021-07-01,2021-05-18,inconsistent,0,8
2021-07-01,2021-05-19,inconsistent,0,16
2021-07-01,2021-05-18,consistent,3,8230
2021-07-01,2021-05-19,consistent,3,7999
2021-07-01,2021-05-21,inconsistent,0,10
2021-07-01,2021-05-21,consistent,3,9763
2021-07-01,2021-05-22,inconsistent,0,4
2021-07-01,2021-05-22,consistent,2,2279
2021-07-01,2021-05-23,consistent,2,310
